country,subdivision,type,60kgs_bag,year,nonbearing_trees,bearing_trees,nonbear_hectares,bearing_hectares,bearing_trees_per_hectare,nonbearing_trees_per_hectare
Brazil,Minas Gerais,Arabica,16.2,2002,1500,4465,495,2120,2106,3030
Brazil,Espirito Santo,Arabica,2.2,2002,1500,4465,495,2120,2106,3030
Brazil,Espirito Santo,Robusta,7.5,2002,1500,4465,495,2120,2106,3030
Brazil,Sao Paulo,Arabica,3.2,2002,1500,4465,495,2120,2106,3030
Brazil,Parana,Arabica,0.5,2002,1500,4465,495,2120,2106,3030
Brazil,Minas Gerais,Arabica,26.7,2003,1125,5265,315,2360,2231,3577
Brazil,Espirito Santo,Arabica,3,2003,1125,5265,315,2360,2231,3577
Brazil,Espirito Santo,Robusta,8.5,2003,1125,5265,315,2360,2231,3577
Brazil,Sao Paulo,Arabica,5.9,2003,1125,5265,315,2360,2231,3577
Brazil,Parana,Arabica,2.6,2003,1125,5265,315,2360,2231,3577
Brazil,Minas Gerais,Arabica,14.4,2004,631,5050,205,2174,2323,3075
Brazil,Espirito Santo,Arabica,1.7,2004,631,5050,205,2174,2323,3075
Brazil,Espirito Santo,Robusta,6.2,2004,631,5050,205,2174,2323,3075
Brazil,Sao Paulo,Arabica,3.1,2004,631,5050,205,2174,2323,3075
Brazil,Parana,Arabica,2.2,2004,631,5050,205,2174,2323,3075
Brazil,Minas Gerais,Arabica,21.4,2005,466,5255,148,2305,2280,3149
Brazil,Espirito Santo,Arabica,2.5,2005,466,5255,148,2305,2280,3149
Brazil,Espirito Santo,Robusta,5.6,2005,466,5255,148,2305,2280,3149
Brazil,Sao Paulo,Arabica,4.9,2005,466,5255,148,2305,2280,3149
Brazil,Parana,Arabica,2.6,2005,466,5255,148,2305,2280,3149
Brazil,Minas Gerais,Arabica,16.3,2006,581,5330,175,2298,2319,3320
Brazil,Espirito Santo,Arabica,2.2,2006,581,5330,175,2298,2319,3320
Brazil,Espirito Santo,Robusta,6.2,2006,581,5330,175,2298,2319,3320
Brazil,Sao Paulo,Arabica,3.3,2006,581,5330,175,2298,2319,3320
Brazil,Parana,Arabica,1.8,2006,581,5330,175,2298,2319,3320
Brazil,Minas Gerais,Arabica,23.7,2007,563,5730,186,2245,2552,3030
Brazil,Espirito Santo,Arabica,2.2,2007,563,5730,186,2245,2552,3030
Brazil,Espirito Santo,Robusta,7.8,2007,563,5730,186,2245,2552,3030
Brazil,Sao Paulo,Arabica,4.9,2007,563,5730,186,2245,2552,3030
Brazil,Parana,Arabica,2.5,2007,563,5730,186,2245,2552,3030
Brazil,Minas Gerais,Arabica,16.85,2008,679,5720,196,2235,2559,3468
Brazil,Espirito Santo,Arabica,2.2,2008,679,5720,196,2235,2559,3468
Brazil,Espirito Santo,Robusta,8.2,2008,679,5720,196,2235,2559,3468
Brazil,Sao Paulo,Arabica,3.1,2008,679,5720,196,2235,2559,3468
Brazil,Parana,Arabica,1.95,2008,679,5720,196,2235,2559,3468
Brazil,Minas Gerais,Arabica,25.55,2009,663,5770,188,2223,2596,3527
Brazil,Espirito Santo,Arabica,2.8,2009,663,5770,188,2223,2596,3527
Brazil,Espirito Santo,Robusta,9,2009,663,5770,188,2223,2596,3527
Brazil,Sao Paulo,Arabica,4.85,2009,663,5770,188,2223,2596,3527
Brazil,Parana,Arabica,2.5,2009,663,5770,188,2223,2596,3527
Brazil,Minas Gerais,Arabica,22.1,2010,873,5725,244,2151,2662,3578
Brazil,Espirito Santo,Arabica,2.4,2010,873,5725,244,2151,2662,3578
Brazil,Espirito Santo,Robusta,8.2,2010,873,5725,244,2151,2662,3578
Brazil,Sao Paulo,Arabica,4.2,2010,873,5725,244,2151,2662,3578
Brazil,Parana,Arabica,1.9,2010,873,5725,244,2151,2662,3578
Brazil,Minas Gerais,Arabica,28.5,2011,815,5820,234,2175,2676,3483
Brazil,Espirito Santo,Arabica,3.1,2011,815,5820,234,2175,2676,3483
Brazil,Espirito Santo,Robusta,8.4,2011,815,5820,234,2175,2676,3483
Brazil,Sao Paulo,Arabica,5,2011,815,5820,234,2175,2676,3483
Brazil,Parana,Arabica,2.4,2011,815,5820,234,2175,2676,3483
Brazil,Minas Gerais,Arabica,23.5,2012,835,5760,260,2150,2679,3212
Brazil,Espirito Santo,Arabica,2.7,2012,835,5760,260,2150,2679,3212
Brazil,Espirito Santo,Robusta,10.8,2012,835,5760,260,2150,2679,3212
Brazil,Sao Paulo,Arabica,4.1,2012,835,5760,260,2150,2679,3212
Brazil,Parana,Arabica,1.9,2012,835,5760,260,2150,2679,3212
Brazil,Minas Gerais,Arabica,28.5,2013,1000,5860,282,2105,2784,3546
Brazil,Espirito Santo,Arabica,3,2013,1000,5860,282,2105,2784,3546
